timestamp,updated,temperature,wind_speed,humidity,pm25_french,pm25_eu,pm25_czech,pm25_yarmag
2025-09-30 00:18,"15:00, Нийслэл, Улаанбаатар",9,2,57,35,ERROR,39,36
2025-09-30 00:39,"15:00, Нийслэл, Улаанбаатар",9,2,57,35,ERROR,39,36
2025-09-30 01:15,"16:40, Нийслэл, Улаанбаатар",7,1,63,30,ERROR,36,47
2025-09-30 01:38,"17:30, Нийслэл, Улаанбаатар",7,1,63,30,ERROR,36,47
2025-09-30 02:24,"18:20, Нийслэл, Улаанбаатар",6,0,69,26,ERROR,37,47
2025-09-30 02:47,"18:40, Нийслэл, Улаанбаатар",6,1,68,26,ERROR,37,47
2025-09-30 03:14,"19:10, Нийслэл, Улаанбаатар",5,0,71,21,ERROR,24,47
2025-09-30 03:38,"19:30, Нийслэл, Улаанбаатар",6,1,68,21,ERROR,24,47
2025-09-30 04:18,"20:10, Нийслэл, Улаанбаатар",5,0,69,23,ERROR,29,47
2025-09-30 04:38,"20:10, Нийслэл, Улаанбаатар",5,0,69,23,ERROR,29,47
2025-09-30 05:16,"21:10, Нийслэл, Улаанбаатар",5,1,67,19,ERROR,24,47
2025-09-30 05:37,"21:10, Нийслэл, Улаанбаатар",5,1,67,19,ERROR,24,47
2025-09-30 06:15,"22:10, Нийслэл, Улаанбаатар",5,2,67,21,ERROR,27,47
2025-09-30 06:36,"22:20, Нийслэл, Улаанбаатар",5,1,68,21,ERROR,27,47
2025-09-30 07:16,"23:00, Нийслэл, Улаанбаатар",5,1,69,22,ERROR,25,47
2025-09-30 07:37,"23:30, Нийслэл, Улаанбаатар",5,1,68,22,ERROR,25,47
2025-09-30 08:14,"00:10, Нийслэл, Улаанбаатар",6,2,64,,ERROR,25,47
2025-09-30 08:22,"00:20, Нийслэл, Улаанбаатар",7,2,63,31,ERROR,37,47
